[BANK 80]
8000 - 8001: ; sram_check_disable.asm
9BAE - 9BAF: ; music.asm
9BD9 - 9BDA: ; music.asm
9C46 - 9C47: ; music.asm
9C6F - 9C70: ; music.asm
9C9A - 9C9B: ; music.asm
9CC4 - 9CC5: ; music.asm
9E22 - 9E23: ; music.asm
9EC5 - 9EC6: ; all_items_spawn.asm
9F27 - 9F28: ; music.asm
9F41 - 9F42: ; music.asm
9F7A - 9F7B: ; music.asm
9F94 - 9F95: ; music.asm
9FF6 - 9FF7: ; music.asm
A022 - A023: ; music.asm
A062 - A063: ; music.asm
A08C - A08D: ; music.asm
A0E3 - A0E4: ; music.asm
A118 - A119: ; music.asm
A141 - A142: ; music.asm
A16C - A16D: ; music.asm
A1BE - A1BF: ; music.asm
A1E9 - A1EA: ; music.asm
A2A4 - A2A5: ; music.asm
A308 - A309: ; music.asm
A38D - A38E: ; music.asm
A3EE - A3EF: ; music.asm
A419 - A41A: ; music.asm
A482 - A483: ; music.asm
A4C2 - A4C3: ; music.asm
A57C - A57D: ; music.asm
A5CF - A5D0: ; music.asm
A629 - A62A: ; music.asm
A652 - A653: ; music.asm
A76E - A76F: ; music.asm
A799 - A79A: ; music.asm
A7C4 - A7C5: ; music.asm
A826 - A827: ; music.asm
A876 - A877: ; music.asm
A8CA - A8CB: ; music.asm
A909 - A90A: ; music.asm
AA1F - AA20: ; music.asm
AA52 - AA53: ; music.asm
AAEF - AAF0: ; music.asm
AB18 - AB19: ; music.asm
AB4C - AB4D: ; music.asm
AB75 - AB76: ; music.asm
ABA0 - ABA1: ; music.asm
ABE3 - ABE4: ; music.asm
AC11 - AC12: ; music.asm
AC6B - AC6C: ; music.asm
AC94 - AC95: ; music.asm
ACC4 - ACC5: ; music.asm
AD01 - AD02: ; music.asm
ADBE - ADBF: ; music.asm
AE18 - AE19: ; music.asm
AE43 - AE44: ; music.asm
AE85 - AE86: ; music.asm
AEC5 - AEC6: ; music.asm
AEF0 - AEF1: ; music.asm
AF25 - AF26: ; music.asm
AF83 - AF84: ; music.asm
AFB4 - AFB5: ; music.asm
AFDF - AFE0: ; music.asm
B00C - B00D: ; music.asm
B037 - B038: ; music.asm
B062 - B063: ; music.asm
B08B - B08C: ; music.asm
B0C5 - B0C6: ; music.asm
B117 - B118: ; music.asm
B14A - B14B: ; music.asm
B3B6 - B3B7: ; music.asm
B41B - B41C: ; music.asm
B468 - B469: ; music.asm
B493 - B494: ; music.asm
B4BE - B4BF: ; music.asm
B4F6 - B4F7: ; music.asm
B521 - B522: ; music.asm
B56B - B56C: ; music.asm
B596 - B597: ; music.asm
B5E6 - B5E7: ; music.asm
B63C - B63D: ; music.asm
B64C - B64D: ; gray_doors.asm
B6A9 - B6AA: ; music.asm
C116 - C11A: ; Scrolling Sky v1.6.asm
C11B - C11F: ; Area FX.asm
C120 - C123: ; Scrolling Sky v1.6.asm
C8B3 - C8B6: ; tourian_map.asm
C90C - C90E: ; map_area.asm
C9B4 - C9B5: ; all_items_spawn.asm
CAC4 - CAC5: ; music.asm
CAD4 - CAD5: ; all_items_spawn.asm
CADE - CADF: ; music.asm
CBA1 - CBA2: ; music.asm
CBBB - CBBC: ; music.asm
CC4D - CC4E: ; all_items_spawn.asm
CCE1 - CCE2: ; music.asm
CCFB - CCFC: ; music.asm
CD72 - CD73: ; music.asm
CD8C - CD8D: ; music.asm
CDBE - CDBF: ; music.asm
CDCE - CDCF: ; all_items_spawn.asm
CDD8 - CDD9: ; music.asm
CE07 - CE08: ; music.asm
CE17 - CE18: ; all_items_spawn.asm
CE21 - CE22: ; music.asm
CE56 - CE57: ; music.asm
CE66 - CE67: ; all_items_spawn.asm
CE70 - CE71: ; music.asm
CF65 - CF66: ; music.asm
D028 - D029: ; music.asm
D066 - D067: ; music.asm
D0CA - D0CB: ; music.asm
D14C - D14D: ; music.asm
D17E - D17F: ; music.asm
D1EE - D1EF: ; music.asm
D263 - D264: ; music.asm
D28F - D290: ; music.asm
D2BB - D2BC: ; music.asm
D2EA - D2EB: ; music.asm
D351 - D352: ; music.asm
D398 - D399: ; music.asm
D3C7 - D3C8: ; music.asm
D419 - D41A: ; music.asm
D444 - D445: ; music.asm
D472 - D473: ; music.asm
D49F - D4A0: ; music.asm
D4D3 - D4D4: ; music.asm
D500 - D501: ; music.asm
D52F - D530: ; music.asm
D55E - D55F: ; music.asm
D58B - D58C: ; music.asm
D5FD - D5FE: ; music.asm
D657 - D658: ; music.asm
D6AB - D6AC: ; music.asm
D6E1 - D6E2: ; music.asm
D70E - D70F: ; music.asm
D73B - D73C: ; music.asm
D7A5 - D7A6: ; music.asm
D856 - D857: ; music.asm
D87F - D880: ; music.asm
D8A9 - D8AA: ; music.asm
D8DB - D8DC: ; music.asm
D8F5 - D8F6: ; music.asm
D924 - D925: ; music.asm
D9E5 - D9E6: ; music.asm
DA0F - DA10: ; music.asm
DA3C - DA3D: ; music.asm
DAD3 - DAD4: ; tourian_map.asm
DAEE - DAEE: ; everything_respawns.asm
DAF7 - DAF8: ; music.asm
DB11 - DB12: ; music.asm
DB3E - DB3E: ; everything_respawns.asm
DB47 - DB48: ; music.asm
DB61 - DB62: ; music.asm
DB8A - DB8A: ; everything_respawns.asm
DB93 - DB94: ; music.asm
DBAD - DBAE: ; music.asm
DBDA - DBDA: ; everything_respawns.asm
DCC7 - DCC8: ; music.asm
DCE1 - DCE2: ; music.asm
DD3F - DD40: ; music.asm
DD72 - DD73: ; music.asm
DD8C - DD8D: ; music.asm
DDA6 - DDA7: ; escape_autosave.asm
DDAA - DDAD: ; escape_autosave.asm
DDB4 - DDB5: ; escape_autosave.asm
DDD5 - DDD6: ; music.asm
DE5E - DE5F: ; music.asm
DE6C - DE73: ; no_explosions_before_escape.asm
DE8B - DE8C: ; music.asm
DE99 - DEA0: ; no_explosions_before_escape.asm
DEB8 - DEB9: ; music.asm
DEC6 - DECD: ; no_explosions_before_escape.asm
DEEF - DEF0: ; music.asm
DEFD - DF04: ; no_explosions_before_escape.asm
DF28 - DF29: ; tourian_map.asm
E301 - E303: ; saveload.asm
E310 - E312: ; saveload.asm
E606 - E607: ; everything_respawns.asm
E633 - E634: ; everything_respawns.asm
E817 - E819: ; intro_song.asm
E893 - E895: ; extra_setup.asm
E896 - E898: ; escape.asm
E89D - E89F: ; load_plms_early.asm
E8BD - E8BF: ; escape.asm

[BANK 90]
81C0 - 81C2: ; Fake Lava.asm
81DB - 81DF: ; complementary_suits.asm
8219 - 821B: ; Fake Lava.asm
843C - 843E: ; Fake Lava.asm
8502 - 8504: ; split_speed.asm
855B - 855D: ; split_speed.asm
8E3A - 8E3C: ; Fake Lava.asm
9758 - 975A: ; Fake Lava.asm
978C - 978E: ; split_speed.asm
97A9 - 97AB: ; split_speed.asm
98D9 - 98DB: ; Fake Lava.asm
9919 - 991E: ; split_speed.asm
9966 - 9968: ; Fake Lava.asm
99A9 - 99AB: ; split_speed.asm
99F3 - 99F5: ; Fake Lava.asm
9A46 - 9A48: ; Fake Lava.asm
9BEB - 9BED: ; Fake Lava.asm
9C3B - 9C3D: ; Fake Lava.asm
9C72 - 9C74: ; Fake Lava.asm
9E4B - 9E54: ; walljump_plm.asm
9E6C - 9E75: ; walljump_plm.asm
A3CA - A3CC: ; momentum_conservation.asm
A458 - A45A: ; Fake Lava.asm
A7F1 - A7F3: ; map_area.asm
A923 - A924: ; map_progress_maintain.asm
A97C - A97E: ; unexplore.asm
A98B - A98D: ; map_progress_maintain.asm
A9BE - A9C0: ; map_area.asm
A9C1 - A9CF: ; map_progress_maintain.asm
AA73 - AA75: ; map_area.asm
AA73 - AA80: ; item_dots_disappear.asm
AA78 - AA7A: ; map_area.asm
AAAC - AAAD: ; map_progress_maintain.asm
AAB4 - AAB6: ; map_progress_maintain.asm
AAD3 - AAD4: ; map_progress_maintain.asm
AADB - AADD: ; map_progress_maintain.asm
AAFD - AB02: ; map_area.asm
AB10 - AB11: ; map_progress_maintain.asm
AB18 - AB1A: ; map_progress_maintain.asm
AB4A - AB4F: ; map_area.asm
AB56 - AB58: ; map_area.asm
AB6D - AB6F: ; map_progress_maintain.asm
D0CE - D0D0: ; energy_free_shinesparks.asm
D0FD - D0FF: ; energy_free_shinesparks.asm
D129 - D12B: ; energy_free_shinesparks.asm
D2BD - D2BF: ; energy_free_shinesparks.asm
D336 - D337: ; energy_free_shinesparks.asm
D354 - D356: ; crash_handle_yapping.asm
D4B9 - D4BE: ; remove_spikesuit.asm
E0F2 - E0F7: ; stats.asm
E908 - E90A: ; escape_timer.asm
E9CE - EA22: ; complementary_suits.asm
EA57 - EA5E: ; Ceres Enable.asm
EA92 - EA95: ; no_beeping.asm
EAA0 - EAA3: ; no_beeping.asm
ECB6 - ECD1: ; gravity_palette.asm
EDEC - EDEF: ; mosaic_fx_fix.asm
EE03 - EE05: ; Fake Lava.asm
EE86 - EE88: ; Fake Lava.asm
EEE7 - EEE9: ; split_speed.asm
F33C - F33F: ; no_beeping.asm

[BANK 91]
816F - 817F: ; crash_handle_xmode.asm
81B0 - 81B3: ; spin_lock.asm
81F4 - 8297: ; aim_anything.asm
8464 - 84AD: ; respin.asm
95BC - 95F4: ; crash_handle_xmode.asm
95BC - 965A: {unused vanilla code - demo instructions} - crash_handle_xmode.asm
9EE2 - A80D: ; respin.asm
A834 - A835: ; respin.asm
A874 - A8F3: ; respin.asm
A8FC - B00D: ; respin.asm
B629 - B629: ; fix_blue_echoes.asm
CAFE - CB00: ; crash_handle_xmode.asm
D71B - D71C: ; gravity_palette.asm
D9CD - D9D0: ; split_speed.asm
D9D1 - D9D3: ; Fake Lava.asm
D9D6 - D9D8: ; split_speed.asm
D9EA - D9EC: ; split_speed.asm
DAE3 - DAE5: ; split_speed.asm
DB0B - DB0D: ; split_speed.asm
DB6D - DB6F: ; split_speed.asm
DBF2 - DBF4: ; split_speed.asm
DD23 - DD25: ; split_speed.asm
DE59 - DE63: ; remove_bluesuit.asm
DE6A - DE6F: ; gravity_palette.asm
DEBA - DF09: ; gravity_palette.asm
E164 - E169: ; fast_reload.asm
E604 - E609: ; fix_hyper_slowlock.asm
E647 - E64B: ; split_speed.asm
E6DA - E6DD: ; no_beeping.asm
E901 - E903: ; split_speed.asm
EA07 - EA0A: ; crash_handle_springball.asm
F116 - F119: ; mosaic_fx_fix.asm
F12D - F12F: ; Fake Lava.asm
F166 - F169: ; mosaic_fx_fix.asm
F17D - F17F: ; Fake Lava.asm
F1FC - F1FF: ; crash_handle_springball.asm
F564 - F566: ; split_speed.asm
F571 - F573: ; split_speed.asm
F6A9 - F6AB: ; Fake Lava.asm
F70A - F70C: ; Fake Lava.asm
F7C1 - F7C3: ; split_speed.asm
F7F4 - F887: ; split_speed.asm
F7F4 - F88C: {unused vanilla code} - split_speed.asm
FA8D - FA8F: ; Fake Lava.asm
FB36 - FB38: ; Fake Lava.asm
FC42 - FC62: ; split_speed.asm
FC42 - FC66: {unsued vanilla code} - split_speed.asm
FC99 - FC9D: ; respin.asm

[BANK 92]
8040 - 804B: ; samus_tiles_optim_animated_tiles_fix.asm
807E - 8089: ; samus_tiles_optim_animated_tiles_fix.asm

[BANK 94]
93B2 - 93B4: ; map_area.asm

[BANK 95]
A5E1 - A82E: ; title_map_animation.asm

[BANK 9A]
B200 - D1FF: ; hud_expansion_opaque.asm
B542 - B57F: ; max_ammo_display_fast.asm
B5C0 - B65E: ; max_ammo_display_fast.asm
B691 - B6BF: ; max_ammo_display_fast.asm

[BANK A0]
8AE5 - 8AE7: ; vanilla_bugfixes.asm
95F1 - 96B9: ; everything_respawns.asm
A3E0 - A3E2: ; everything_respawns.asm
A463 - A473: ; complementary_suits.asm

[BANK A1]
E790 - E790: ; tourian_map.asm

[BANK A2]
8751 - 8753: ; everything_respawns.asm
A5BE - A615: ; fast_saves.asm
AA24 - AA2A: ; stats.asm
AA41 - AA43: ; fast_saves.asm
AA86 - AA88: ; fast_saves.asm
AAAB - AAAD: ; fast_saves.asm
AAB2 - AAB4: ; fast_saves.asm
AB3C - AB3F: ; stats.asm
AB52 - AB54: ; fast_saves.asm
AB97 - AB99: ; fast_saves.asm
ABC7 - ABC9: ; escape_timer.asm
AC95 - AC95: ; escape_timer.asm
DFCF - DFD1: ; fix_choot.asm
DFE2 - DFE4: ; fix_choot.asm

[BANK A3]
8AA8 - 8AAC: ; everything_respawns.asm
9581 - 9599: ; elevators_speed.asm
95B0 - 95B0: ; elevators_speed.asm
95D2 - 95D2: ; elevators_speed.asm
95EC - 95EC: ; elevators_speed.asm
A789 - A78B: ; everything_respawns.asm
C7CB - C7CF: ; everything_respawns.asm
EED8 - EEF0: ; complementary_suits.asm

[BANK A4]
868A - 868D: ; gray_doors.asm
8A7A - 8A7C: ; everything_respawns.asm
8CDD - 8CEA: ; flashing_placebo.asm
90C4 - 90C6: ; map_progress_maintain.asm
986D - 9873: ; Area Palettes.asm

[BANK A5]
92D7 - 92DA: ; map_progress_maintain.asm
954D - 9552: ; gray_doors.asm
E87C - E881: ; Area Palettes.asm
E8E5 - E916: ; Area Palettes.asm
E91C - E965: ; Area Palettes.asm
EA96 - EA98: ; everything_respawns.asm
EDF3 - EDF8: ; gray_doors.asm

[BANK A6]
88B8 - 88D7: ; everything_respawns.asm
8989 - 89B5: ; everything_respawns.asm
A0FC - A0FE: ; everything_respawns.asm
A4D6 - A4E2: ; Area Palettes.asm
B291 - B29C: ; gray_doors.asm
C90E - C911: ; everything_respawns.asm
FC8D - FC90: ; everything_respawns.asm
FCA2 - FCA5: ; everything_respawns.asm

[BANK A7]
A934 - A936: ; everything_respawns.asm
B0FB - B0FD: ; fix_kraid_door.asm
B374 - B377: ; gray_doors.asm
C81E - C821: ; escape.asm
C825 - C828: ; map_progress_maintain.asm
CA7B - CA7C: ; map_area.asm
DB7E - DB81: ; map_progress_maintain.asm
DC71 - DC74: ; Area Palettes.asm
DD42 - DD47: ; gray_doors.asm
DD7F - DD81: ; flashing_placebo.asm
F892 - F894: ; escape.asm

[BANK A9]
86EE - 86F1: ; escape_autosave.asm
873A - 873C: ; escape_autosave.asm
87E4 - 87E7: ; mb_barrier_clear.asm
8D73 - 8D75: ; fast_mother_brain_cutscene.asm
8D85 - 8D87: ; fast_mother_brain_cutscene.asm
8DAE - 8DB0: ; fast_mother_brain_cutscene.asm
9D2D - 9D2E: ; fast_mother_brain_cutscene.asm
9D31 - 9D32: ; fast_mother_brain_cutscene.asm
AF07 - AF08: ; fast_mother_brain_cutscene.asm
AF4E - AF4F: ; fast_mother_brain_cutscene.asm
AFC3 - AFC4: ; fast_mother_brain_cutscene.asm
B00D - B00E: ; fast_mother_brain_cutscene.asm
B19E - B1A0: ; fast_mother_brain_cutscene.asm
B1B2 - B1B3: ; fast_mother_brain_cutscene.asm
B1F7 - B1F9: ; escape_autosave.asm
B270 - B272: ; escape.asm
B275 - B27A: ; map_progress_maintain.asm
BB06 - BB19: ; fast_mother_brain_cutscene.asm
BECD - BECF: ; fast_mother_brain_cutscene.asm
BF1E - BF20: ; fast_mother_brain_cutscene.asm
C049 - C052: ; fast_mother_brain_cutscene.asm
C544 - C545: ; mother_brain_no_drain.asm
CD12 - CD15: ; escape_items.asm
D364 - D366: ; fix_dust_torizo.asm
D396 - D398: ; fix_dust_torizo.asm
D4DB - D546: ; fix_dust_torizo.asm
D916 - D918: ; fast_big_boy_cutscene.asm
D951 - D960: ; fast_big_boy_cutscene.asm
EF6C - EF7F: ; ultra_low_qol_vanilla_bugfixes.asm, vanilla_bugfixes.asm
F031 - F033: ; fast_big_boy_cutscene.asm
F049 - F04B: ; fast_big_boy_cutscene.asm
F2A8 - F2AA: ; fast_big_boy_cutscene.asm
F2BA - F2BC: ; fast_big_boy_cutscene.asm
F2E6 - F2E8: ; fast_big_boy_cutscene.asm
F31E - F320: ; fast_big_boy_cutscene.asm
F34A - F34C: ; fast_big_boy_cutscene.asm

[BANK AA]
C886 - C887: ; everything_respawns.asm
C917 - C917: ; disable_major_glitches.asm
D3BA - D3BF: ; gray_doors.asm

[BANK AD]
E3D1 - E3D4: ; mb_left_entrance.asm
F24B - F257: ; Area Palettes.asm

[BANK B3]
9587 - 9589: ; everything_respawns.asm
A024 - A027: ; gray_doors.asm

[BANK B4]
BD9D - BDA5: ; crash_handle_32sprite.asm
F1F4 - F4B1: ; no_drops.asm
F248 - F271: ; buffed_drops.asm

[BANK B6]
8000 - EFFF: ; hud_expansion_opaque.asm
9A00 - 9A1F: ; pause_menu_objectives.asm
9B60 - 9B9F: ; pause_menu_objectives.asm
9BE0 - 9BFF: ; pause_menu_objectives.asm
A0C0 - A0DF: ; pause_menu_objectives.asm
A160 - A1DF: ; pause_menu_objectives.asm
A380 - A3DF: ; pause_menu_objectives.asm
A940 - A97F: ; reserve_backward_fill.asm
AC00 - AD3F: ; pause_menu_objectives.asm
AFE0 - AFFF: ; split_speed.asm
B9E0 - B9FF: ; split_speed.asm
BB00 - BB1F: ; split_speed.asm
BCC0 - BCFF: ; split_speed.asm
CE00 - CFFF: ; split_speed.asm
E9E8 - E9FD: ; split_speed.asm
EA28 - EA3D: ; split_speed.asm
EA66 - EA7D: ; split_speed.asm
EAA8 - EABD: ; split_speed.asm
EAE8 - EAFD: ; split_speed.asm
EB28 - EB3D: ; split_speed.asm
EB68 - EB7D: ; split_speed.asm
EBA8 - EBBD: ; split_speed.asm
EBE8 - EBFD: ; split_speed.asm
EC28 - EC3D: ; split_speed.asm
EC68 - EC7D: ; split_speed.asm
ECA8 - ECBD: ; split_speed.asm
ECE8 - ECFD: ; split_speed.asm
ED28 - ED3D: ; split_speed.asm
ED68 - ED7D: ; split_speed.asm
EDA8 - EDBD: ; split_speed.asm
F03A - F03F: ; map_area.asm
F0E2 - F0E7: ; map_area.asm

[BANK BB]
8000 - FE96: ; Area Palette Glows.asm

[BANK C0]
8000 - F197: ; Area Palettes.asm

[BANK C1]
8000 - D0BA: ; Area Palettes.asm

[BANK CE]
86CA - 86CF: ; tourian_map.asm
86DF - 89B4: ; tourian_map.asm

[BANK DA]
D63B - FFFF: ; intro_song.asm

[BANK DB]
8000 - A40E: ; intro_song.asm

